id;customer_id;customer_name;address;phone;email;gender
1;wireless Soft JSON;Buckinghamshire lavender Sports;Circles empower;0272 8336 1538;DuyM.T9@hotmail.com;18156
2;purple orchid;New Card Granite;Directives Shoes Chair;028 8064 7013;ThanhLoan.Phm@gmail.com;12845
3;system;Frozen Lan;invoice Avon;0247 9149 1802;PhngNam9@yahoo.com;48712
4;Car Market Ergonomic;Sleek Alabama toolset;Nebraska;023 4888 5303;HoNhin_inh99@gmail.com;57304
5;deposit;Paradigm;North drive;021 3491 2253;DimHnh15@gmail.com;13447
6;Sausages;index methodology;deposit;0268 3174 6339;TngVinh30@hotmail.com;94792
7;Oklahoma Account;blockchains;Card Executive;0259 8490 5645;XunNinh51@hotmail.com;47113
8;West;evolve Terrace;Planner web-enabled;024 7395 2686;HngHoa21@hotmail.com;42151
9;Computers generating;connect Market Intelligent;Licensed;022 9805 0643;DuyThnh_ng@hotmail.com;6990
10;backing up concept;networks Hat;sky Developer;022 5579 2055;HoiTn.Trng@yahoo.com;9228
